movie|celeb|review
The Shape Of Water 2017|Guillermo del Toro|From master story teller, Guillermo del Toro, comes THE SHAPE OF WATER - an other-worldly fairy tale, set against the backdrop of Cold War era America circa 1962. In the hidden high-security government laboratory where she works, lonely Elisa (Sally Hawkins) is trapped in a life of isolation. Elisa's life is changed forever when she and co-worker Zelda (Octavia Spencer) discover a secret classified experiment. Rounding out the cast are Michael Shannon, Richard Jenkins, Doug Jones and Michael Stuhlbarg.
Good Time|Joshua Safdie|After a botched bank robbery lands his younger brother in prison, Constantine Nikas (Robert Pattinson) embarks on a twisted odyssey through New York City's underworld in an increasingly desperate-and dangerous-attempt to get his brother out of jail. Over the course of one adrenalized night, Constantine finds himself on a mad descent into violence and mayhem as he races against the clock to save his brother and himself, knowing their lives hang in the balance.
Lady Bird|Greta Gerwig|In Lady Bird, Greta Gerwig reveals herself to be a bold new cinematic voice with her directorial debut, excavating both the humor and pathos in the turbulent bond between a mother and her teenage daughter. Christine "Lady Bird" McPherson (Saoirse Ronan) fights against but is exactly like her wildly loving, deeply opinionated and strong-willed mom (Laurie Metcalf), a nurse working tirelessly to keep her family afloat after Lady Bird's father (Tracy Letts) loses his job. Set in Sacramento, California in 2002, amidst a rapidly shifting American economic landscape, Lady Bird is an affecting look at the relationships that shape us, the beliefs that define us, and the unmatched beauty of a place called home.
The Hitmans Bodyguard|Patrick Hughes|The world's top protection agent (Ryan Reynolds) is called upon to guard the life of his mortal enemy, one of the world's most notorious hitmen (Samuel L. Jackson). The relentless bodyguard and manipulative assassin have been on the opposite end of the bullet for years and are thrown together for a wildly outrageous 24 hours. During their raucous and hilarious adventure from England to the Hague, they encounter high-speed car chases, outlandish boat escapades and a merciless Eastern European dictator (Gary Oldman) who is out for blood. Salma Hayek joins the mayhem as Jackson's equally notorious wife.
Valerian And The City Of A Thousand Planets|Luc Besson|VALERIAN AND THE CITY OF A THOUSAND PLANETS is the visually spectacular new adventure film from Luc Besson, the legendary director of The Professional, The Fifth Element and Lucy, based on the ground-breaking comic book series which inspired a generation of artists, writers and filmmakers. In the 28th century, Valerian (Dane DeHaan) and Laureline (Cara Delevingne) are a team of special operatives charged with maintaining order throughout the human territories. Under assignment from the Minister of Defense, the two embark on a mission to the astonishing city of Alpha-an ever-expanding metropolis where species from all over the universe have converged over centuries to share knowledge, intelligence and cultures with each other. There is a mystery at the center of Alpha, a dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.
It 2017|Andy Muschietti|New Line Cinema's horror thriller "IT," directed by Andy Muschietti ("Mama"), is based on the hugely popular Stephen King novel of the same name, which has been terrifying readers for decades. When children begin to disappear in the town of Derry, Maine, a group of young kids are faced with their biggest fears when they square off against an evil clown named Pennywise, whose history of murder and violence dates back for centuries.
Despicable Me 3|Kyle Balda|Illumination, who brought audiences Despicable Me and the biggest animated hits of 2013 and 2015, Despicable Me 2 and Minions, continues the adventures of Gru, Lucy, their adorable daughters-Margo, Edith and Agnes-and the Minions in Despicable Me 3. Directed by Pierre Coffin and Kyle Balda, co-directed by Eric Guillon and written by Cinco Paul & Ken Daurio, the animated film is produced by Illumination's Chris Meledandri and Janet Healy, and executive produced by Chris Renaud. Joining Steve Carell and Kristen Wiig in Despicable Me 3 is Emmy, Tony and Grammy Award winner Trey Parker, co-creator of Comedy Central's global phenomenon South Park and the Broadway smash The Book of Mormon. Parker voices the role of villain Balthazar Bratt, a former child star who's grown up to become obsessed with the character he played in the '80s, and proves to be Gru's most formidable nemesis to date. The film will be released in theaters on June 30, 2017.
24 Hours To Live 2017|Brian Smrz|24 Hours to Live is a fast-paced action-packed movie about a career assassin (Hawke) who is given a chance at redemption after his employer brings him back to life temporarily after being killed on the job.
Jim And Andy The Great Beyond Featuring A Very Special Contractually Obligated Mention Of Tony Clifton|Chris Smith|Director Chris Smith's fascinating deep dive into actor Jim Carrey's time spent portraying famed and complicated comedian Andy Kaufman. Using approximately 100 hours of footage shot on the set of Man on the Moon documenting Carrey's transformation into Kaufman for four months. Jim Carrey earned critical acclaim and a Golden Globe for the performance, but many of the production's most Kaufmanesque moments played out behind the scenes, thankfully captured on video by Andy's former girlfriend, Lynne Margulies and former writing partner, Bob Zmuda. In Jim & Andy, Carrey looks back at the resulting footage 18 years later, reflecting on how he and Andy came up in oddly parallel universes, his experience channelling Andy and Tony and more broadly the spiritual journey of his career.
Amour 2013|Michael Haneke|Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has an attack. The couple's bond of love is severely tested. -- (C) Official Site
The Turning|Tony Ayres|A collection of short films based on stories by Australian writer Tim Winton.
Kedi 2017|Ceyda Torun|KEDi is not a documentary about house cats or the strays you occasionally see in your back yard. KEDi is a film about the hundreds of thousands of cats who have roamed the metropolis of Istanbul freely for thousands of years, wandering in and out of people's lives, impacting them in ways only an animal who lives between the worlds of the wild and the tamed can. Cats and their kittens bring joy and purpose to those they choose, giving people an opportunity to reflect on life and their place in it. In Istanbul, cats are the mirrors to ourselves. "Cats - tabbies, calicos, angoras, Norwegian forest cats; ginger cats, grey cats, black cats, white cats, black and white cats - all kinds of cats, roam the city, free, without a human master. Some fend for themselves, scavenging from dumpsters, living in abandoned buildings, others are cared for by communities of people, pampered with the best cat food and given shelter for the cold months. Cats have been a part of the city for thousands of years, and so, everyone who grows up in Istanbul or lives in Istanbul has a story about a cat. Stories that are memorable; sometimes scary, sometimes spiritual, but always very personal. Street cats are such a big part of the culture that when US president Barack Obama visited Istanbul, part of his tour included a stop at the Hagia Sophia to visit its famous cat, Gli. Cats are as integral to the identity of Istanbul as its monuments, the Bosporus, tea, raki and fish restaurants." Ceyda Torun
Harry Benson Shoot First|Justin Bare|HARRY BENSON: SHOOT FIRST charts the illustrious career of the renowned photographer who initially rose to fame alongside The Beatles, having been assigned to cover their inaugural trip to the United States in 1964. With unprecedented "behind the scenes" access, Benson captured some of the most vibrant and intimate portraits ever taken of the most popular band in history. His extensive portfolio includes iconic images of Winston Churchill, Bobby Fischer, Muhammad Ali, Greta Garbo, Michael Jackson, Dr. Martin Luther King, Jr., and the Robert F. Kennedy assassination, and his work has appeared in publications including Life, Vanity Fair and The New Yorker. Now 86, workaholic Benson has no intention of stopping.
Loving 2016|Jeff Nichols|From acclaimed writer/director Jeff Nichols, Loving celebrates the real-life courage and commitment of an interracial couple, Richard and Mildred Loving (portrayed by Joel Edgerton and Ruth Negga), who married and then spent the next nine years fighting for the right to live as a family in their hometown. Their civil rights case, Loving v. Virginia, went all the way to the Supreme Court, which in 1967 reaffirmed the very foundation of the right to marry - and their love story has become an inspiration to couples ever since.
In The Fade|Fatih Akin|Out of nowhere, Katja's life falls apart when her husband Nuri and little son Rocco are killed in a bomb attack. Her friends and family try to give her the support she needs, and Katja somehow manages to make it through the funeral. But the mind numbing search for the perpetrators and reasons behind the senseless killing complicate Katja's painful mourning, opening wounds and doubts. Danilo, a lawyer and Nuri's best friend, represents Katja in the eventual trial against the two suspects: a young couple from the neo-Nazi scene. The trial pushes Katja to the edge, but there's simply no alternative for her: she wants justice.
Gook|Justin Chon|In 1992, two Korean-American brothers and director running a shoe store in South Central Los Angeles share a friendship with an 11-year-old black girl who likes hanging out with them. As news of the verdict in the beating case filters down during the day, their livelihood is upended when riots break out and everything they've built in the community is threatened by violence and looting.
Asha Jaoar Majhe|Adityavikram Sengupta|Set in the crumbling environs of Calcutta, Labour of Love is a lyrical unfolding of two ordinary lives suspended in the duress of a spiralling recession.
Death Race|Paul W.S. Anderson|The Transporter star Jason Statham takes the wheel in director Paul W.S. Anderson's remake of the Roger Corman classic about a hyper-violent cross-country race that breaks all of the traditional rules of the road. The time is the not-so-distant future, and as America's prisons begin overflowing with violent criminals, the powers that be devise a grisly game that will free up space in the cells and entertain the masses at the same time. Jensen Ames (Statham) is a three-time speedway champion with a dark past. A survival expert and ex-con whose sordid history comes back to haunt him when he is framed for a murder he didn't commit, Ames is forced to choose between donning the metallic mask of a mythical racer known as Frankenstein or languishing away on Terminal Island -- America's most notorious penitentiary. Over the course of the next three days, this unlikely champion will get behind the wheel of a nightmare machine outfitted with machine guns, grenade launchers, and flamethrowers in a desperate attempt to outrun some of the most violent criminals ever imprisoned. Should Ames be the first to cross the checkered flag, he will win his freedom; should he come in second, however, death would be preferable to a grim future in a cramped concrete cell. Co-stars include Joan Allen, Ian McShane, Natalie Martinez, and Tyrese Gibson, who takes over the role of Machine Gun Joe, made famous by Sylvester Stallone in the original. ~ Jason Buchanan, Rovi
Abacus Small Enough To Jail|Steve James|Abacus: Small Enough to Jail tells the incredible saga of the Chinese immigrant Sung family, owners of Abacus Federal Savings of Chinatown, New York. Accused of mortgage fraud by Manhattan District Attorney Cyrus R. Vance, Jr., Abacus becomes the only U.S. bank to face criminal charges in the wake of the 2008 financial crisis. The indictment and subsequent trial forces the Sung family to defend themselves--and their bank's legacy in the Chinatown community--over the course of a five-year legal battle.
Rebels On Pointe|Bobbi Jo Hart|Exploring universal themes of identity, dreams, family, loss and love, Rebels on Pointe is the first-ever feature documentary celebrating the world famous Les Ballets Trockadero de Monte Carlo. The all male, comic ballet company was founded over 40 years ago on the heels of New York's Stonewall riots and and has a diverse cult following around the world. The film juxtaposes behind-the-scenes access, rich archives and history, intimate character-driven stories, and amazing dance performances shot in North America, Europe and Japan. Rebels on Pointe is a creative blend of gender, diversity, passion and purpose. A story which ultimately proves that a ballerina is not only a woman dancing -- but an act of rebellion in a tutu.
We Are Still Here|Ted Geoghegan|In the cold, wintery fields of New England, a lonely old house wakes up every thirty years - and demands a sacrifice.
Deathgasm|Jason Lei Howden|New kid in town Brodie and bad-boy Zakk quickly bond over their mutual admiration of heavy metal. But when these two metal thrashing losers unwittingly summon malevolent forces, their dreams of stardom may just have to be put on hold.
Person To Person 2017|Dustin Guy Defa|In PERSON TO PERSON, a record collector hustles for a big score while his heartbroken roommate tries to erase a terrible mistake, a teenager bears witness to her best friend's new relationship, and a rookie reporter, alongside her demanding supervisor, chases the clues of a murder case involving a life-weary clock shop owner. Shot entirely in 16mm, PERSON TO PERSON effortlessly humanizes its characters, invoking an earnest realism in the performances of its ensemble cast: Michael Cera, Abbi Jacobson, Michaela Watkins, and newcomer Bene Coopersmith. Defa demonstrates his aptitude for honest storytelling as he explores the absurdity and challenges of forging human connections.
Soul On A String|Zhang Yang|After discovering a sacred stone in the mouth of a deer he just killed, Taibei, a young lonesome Tibetan cowboy, embarks on a long and difficult mission: to bring it back to the holy mountain of Buddha's handprint. His journey turns sour as an obstinate woman, Joan, and a psychic yet dumb elf, Pu, soon decide to join him. Not to mention the two violent brothers on his tale, who are on a revenge quest.
Oh What A Lovely War|Richard Attenborough|Oh! What a Lovely War is an every-man-for-himself adaptation of Charles Chilton's 1963 play, as staged in London by Joan Littlewood. The tragedy of World War I is redefined in bawdy music-hall terms, beginning with a verbal free-for-all involving the Crowned Heads of Europe. The war is presented as the "new attraction" at the Brighton Amusement Pier, complete with syrupy cheer-up songs, shooting galleries, free prizes and a scoreboard toting up the dead. Throughout the proceedings, the camera concentrates on a middle-class family, whose five sons end up as cannon fodder. The final image is a veddy proper British picnic on a graveyard. Of the many fleeting satiric images parading past the camera, one of the most indelible is the sight of several generals playing leapfrog as the world all around them goes to hell in a handbasket. The awesome all-star cast includes Laurence Olivier, Ralph Richardson, Maggie Smith, John Gielgud, Michael Redgrave, Jack Hawkins, John Mills, Susannah York, Dirk Bogarde and Phyllis Calvert. We haven't seen this many Englishmen in one place since the last Wimbledon match. The whole affair was supervised by Richard Attenborough, making his directorial debut (a question: why was he up to the challenge of this musical extravaganza, yet seemed helpless in the face of 1985's A Chorus Line?).
Prelude To A Kiss|Norman René|On her wedding day, bride Meg Ryan is kissed by a strange old man (Sydney Walker) who shows at the wedding uninvited. Meg and Walker instantly exchange personalities, much to the discomfort of groom Alec Baldwin. In trying to set things aright, Baldwin discover that the man is dying from cancer.
High Crimes|Carl Franklin|Defense attorney Claire Kubik (Ashley Judd) seems to have the perfect life. She has a high profile job at a big firm, a beautiful home outside San Francisco, and a husband, Tom (James Caviezel of The Thin Red Line), who loves her. Claire's biggest problem appears to be that she wants to have a baby, and she's having trouble getting pregnant. But when the police investigate a routine break-in at her home, they uncover the truth about her husband's identity, and her life is thrown into turmoil. Claire finds out that her husband's name is actually Ron Chapman, and that he's an ex-marine accused of murdering seven innocent civilians in El Salvador during a raid in the late '80s. He admits that he was there, and that he changed his identity to escape prosecution for the crimes, but he insists that he's innocent, and that the massacre was committed by another soldier under the orders of a powerful general (Bruce Davison), who is using Ron as a patsy to cover it up. Claire is eventually convinced that Ron's telling the truth. Faced with defending her husband in an unfamiliar military courtroom, Claire enlists the aid of Charles Grimes (Morgan Freeman), an ex-Army judge advocate with an axe to grind. Stonewalled by the military bureaucracy at every turn, they uncover a web of deception and disappearing witnesses, and they soon find their own lives in danger. High Crimes was adapted from Joseph Finder's novel by the husband and wife screenwriting team of Yuri Zeltser and Cary Bickley. The film was directed by Carl Franklin (One False Move), and co-stars Amanda Peet and Adam Scott. ~ Josh Ralske, Rovi
The Playaz Court|Greg Morgan|The courts of Englewood are as far removed from the hollowed halls of justice as a street ball player can imagine, but when a pickup game ends in death, the quest for revenge proves that even on the street there's a code of honor. Reggie's best friend is dead, and the pain of his loss leads the hardened player on a quest to ensure that the killer pays for his crime. Upon tracking the killer to a gym, Reggie enters, gun in hand and ready to avenge his friend's death. As the other players declare that no one will die on their court without a fair trial, they listen to both sides of the story to determine if justice will be served with a bullet, or whether the suspected killer will live to play another game.
American Gun|Aric Avelino|Three stories of how America's obsession with firearms impacts its citizens are explored in this independent drama. Carl Wilk (Donald Sutherland) runs a gun shop in Virginia that has been owned and operated by his family for generations. Carl sees the shop as his family's legacy without paying much mind to what happens with the weapons he sells. When his granddaughter Mary Ann (Linda Cardellini) needs money for college, Carl gives her a job in the store, and while she's hesitant at first, she becomes fascinated with the merchandise as time passes. On the West Side of Chicago, Carl Carter (Forest Whitaker) is the principal of a high school where violence has become a sad fact of life. As Carl and his wife, Sara (Garcelle Beauvais-Nilon), fear for their young son as they worry he could either fall prey to the violence of their community or embrace it himself, Carl receives a severe emotional blow when Jay (Arlen Escarpeta), one of his most promising students, is discovered carrying a pistol. And in Oregon, Janet (Marcia Gay Harden) is a single mother still troubled by the death of her teenaged son three years before, who took his own life after killing a handful of his classmates in a violent incident at a high school. As Janet deals with sharp words from the community, many of whom believe she should be held responsible for her late son's actions, she is unsure how to handle her surviving son, David (Christopher Marquette), who is now of high-school age. American Gun was the first feature film for writer and director Aric Avelino.
Paradise Recovered|Storme Wood|A devout young Christian from a struggling religious sect befriends the manager of a health food store, and begins to see another side to her faith in this variation on the story of the Good Samaritan. Ester has never questioned her faith. When her denomination falls on hard times, she volunteers to get a job to help supplement their finances. Subsequently hired by Gabriel, the skeptical son of a devout preacher, Ester gradually begins to share her faith with her kindly new boss while gradually discovering the true value of her own self-worth. ~ Jason Buchanan, Rovi
Let Me Go|Polly Steele|Let Me Go is a film about mothers and daughters, it is about ghosts from the past and the impact they leave on the present. Developed from Helga Schneider's true life story, Let Me Go explores the effect on Helga's life of being abandoned by her mother, Traudi in 1941 when she was just four years old. The film is set in the year 2000 following not only Helga and Traudi's journeys but the next two generations and how Beth, Helga's daughter and Emily her granddaughter are confronted with the long-term effects of Traudi's leaving. When Helga receives a letter telling her that Traudi is close to death, it is Emily with whom Helga shares the truth. Emily volunteers to accompany her to Vienna to meet the great-grandmother she thought was dead, and experience the unraveling of the darkest of family secrets.
Life 2017|Daniel Espinosa|Life tells the story of the six-member crew of the International Space Station that is on the cutting edge of one of the most important discoveries in human history: the first evidence of extraterrestrial life on Mars. As the crew begins to conduct research, their methods end up having unintended consequences and the life form proves more intelligent than anyone ever expected.
The Last Reunion 1982|Jay Wertz|In this actioner a ninja fighter sets off for chop-socky revenge against those who slaughtered his family.
Secret Honor|Robert Altman|'Secret Honor' is a filmed version of Donald Freed and Arnold Stone's one-man play wherein the disgraced Richard M. Nixon ruminates over his failed career and suggests that he was really nothing more than the puppet of a sinister "committee" seeking global power.
Die Mommie Die|Mark Rucker|Playwright, performer, and drag queen Charles Busch appears in the leading role as aging pop star Angela Arden in the darkly comic melodrama Die Mommie Die. Based on Busch's own play, this film marks the directorial debut of Mark Rucker. In 1967, Angela's career has hit bottom and she's trapped in a loveless marriage to film producer Sol Sussman (Philip Baker Hall). She gets involved in an affair with unemployed TV actor Tony Parker (Jason Priestley). After Sol suddenly dies, Angela's daughter Edith (Natasha Lyonne) plots a conspiracy of revenge and enlists the help of her brother, Lance (Stark Sands). Also featuring Nora Dunn and Frances Conroy. Busch has previously appeared in drag for the film adaptation of his play Psycho Beach Party in 2000. Die Mommie Die premiered at the 2003 Sundance Film Festival.
Goddess Of Love|Jim Drake|The famed Wheel of Fortune gameshow letter-turner Vanna White makes her acting debut in this sub-par TV-movie. White stars as the goddess Venus, who goes after the love of a present-day man. The silly film was universally panned by critics.
Three Oclock High|Phil Joanou|The first feature film from director Phil Joanou (State of Grace), Three O' Clock High chronicles a high school nerd's much hyped after-school bout with the infamous class bully. When the impish Jerry Mitchell (Casey Siemaszko) is assigned to interview the new transfer student with a supposedly violent past, Buddy Revell (Richard Tyson), he makes the fatal mistake of touching his subject. Revell, who hates being touched, responds by challenging the unwilling Mitchell to a fight at three o'clock in the parking lot. Spanning the course of the school day, the film follows the disaster-bound Mitchell as he soils his good-boy image through various misguided attempts at averting the fight. Also making noteworthy appearances in the film are Jeffrey Tambor and Philip Baker Hall.
Shark Tale|Eric 'Bibo' Bergeron|Oscar is a fast-talking little fish that dreams big. But his big dreams land him in hot water when a great white lie turns him into an unlikely hero. At first, his fellow fish swallow Oscar's story hook, line and sinker and he is showered with fame and fortune. It's all going along swimmingly, until it starts to become clear that Oscar's tale about being the defender of the Reef is all wet. Oscar is finding out that being a hero comes at a Market Price when his lie threatens to make him the Catch of the Day. Now he has to tread water until he can get the scales to tip back in his favor again.
Lethal Pursuit|Donald M. Jones|In this thriller, rock star Debra J and her sweetheart go to the now-abandoned cabin where she once lived and discover a wounded boy hiding from a cadre of murderous car thieves. Now it is up to the rock star's fearful boyfriend to stop the psychotic gang leader.
Amazing Screw On Head|Chris Prynoski|An artifact that will allow anyone who possesses it to threaten all life on Earth has been stolen by the most dangerous criminal known to man, and now it's up to President Abraham Lincoln's top spy - a disembodied head known only as The Screw-On Head - to retrieve it in Hellboy creator Mike Mignola's hilarious send-up of Lovecraftian horror and steampunk insanity. The dreaded Emperor Zombie (David Hyde Pierce) is threatening to unleash the greatest horror that mankind has ever known, and the only one who can stop him is Screw-On Head (Paul Giamatti). Now, with time running out for all of humanity, Screw-On Head enlists the aid of loyal manservant Mr. Groin and talking canine Mr. Dog in retrieving the priceless artifact and saving the world from a grim and violent fate. As the ultimate confrontation draws near, Screw-On Head searches high and low for a body powerful enough to fight and overcome the horrible powers that have been unleashed by Emperor Zombie.
